folder,texture,type,frames,resx,resy,mips,bits,palette,tally
tif,cfletcher_sb_a,DXT1,0,256,128,3,10001,1,1
tif,cfletcher_hair,PA8,0,64,64,3,0,1,1
tif,ship01_2,P8,0,128,128,3,0,1,1
tif,ship01_rail,PA8,0,64,64,3,0,1,1
tif,cfletcher_b,PA8,0,256,256,3,10001,1,1
tif,greyscale,P8,0,64,64,1,0,1,1
tif,cfletcher_aa,PA8,0,256,256,3,10001,1,1
tif,barney_a,PA8,0,256,256,3,10001,1,1
tif,barney_hair,PA8,0,64,64,3,0,1,1
tif,barney_sb_a,DXT1,0,256,128,3,10001,1,1
tif,barney_b,PA8,0,256,256,3,10001,1,1
tif,tcurran_a,PA8,0,256,256,3,0,1,1
tif,tcurran_b,PA8,0,256,256,3,0,1,1
tif,tcurran_sb_a,DXT1,0,256,128,3,0,1,1
tif,shark_buoy,P8,0,128,128,3,0,1,1
tif,dmalloy_a,PA8,0,256,256,3,10001,1,1
tif,dmalloy_b,PA8,0,256,256,3,10001,1,1
tif,dmalloy_sb_a,DXT1,0,256,128,3,0,1,1
tif,boat_alpha_extras,PA8,0,64,64,1,0,1,1
tif,foam_trail03,PA8,0,128,128,3,0,1,1
tif,tburrows_a,PA8,0,256,256,3,0,1,1
tif,tburrows_b,PA8,0,256,256,3,0,1,1
tif,tburrows_sb_a,DXT1,0,256,128,3,0,1,1
tif,photoguy_water,P8,0,256,256,3,0,1,1
tif,boat_rig_raft,P8,0,128,128,1,10001,1,1
tif,boat_junk,P8,0,128,128,1,10001,1,1
tif,boat_jetski,P8,0,128,128,1,10001,1,1
tif,boat_a,P8,0,128,128,1,0,1,1
tif,boat_b,P8,0,128,128,1,0,1,1
tif,boat_c,P8,0,128,128,1,0,1,1
tif,boat_cat,P8,0,128,128,1,0,1,1
tif,boat_old,P8,0,256,256,1,0,1,1
tif,boat_john,P8,0,256,256,1,0,1,1
tif,tknox_a,PA8,0,256,256,3,0,1,1
tif,tknox_b,PA8,0,256,256,3,0,1,1
tif,tknox_sb_a,DXT1,0,256,128,3,0,1,1
tif,smoke01,PA8,0,128,128,1,0,1,1
tif,tricks_full,PA8,0,128,128,1,0,1,1
tif,tricks_empty,PA8,0,128,128,1,0,1,1
tif,jetskiguy_a,P8,0,256,256,3,0,1,1
tif,jetski_a,P8,0,256,256,3,0,1,1
tif,clopez_a,PA8,0,256,256,3,0,1,1
tif,clopez_b,PA8,0,256,256,3,0,1,1
tif,blur,P8,0,256,256,1,0,1,1
tif,tava_gunman,P8,0,256,256,3,0,1,1
tif,refl,P8,0,128,128,8,0,1,1
tif,clopez_sb_a,DXT1,0,256,128,3,10001,1,1
tif,jetski_b,P8,0,256,256,3,0,1,1
tif,jetskiguy_b,P8,0,256,256,3,0,1,1
tif,jetskier_hair,PA8,0,64,64,3,0,1,1
tif,fe_globemap,DXT1,0,256,256,1,10000,1,1
tif,cele_stage_hurley,P8,0,128,128,1,0,1,1
tif,hud_heat_ladder,PA8,0,512,512,1,10001,1,1
tif,witc_cowhead,P8,0,256,256,3,0,1,1
tif,fe_ov_multchrsel,PA8,0,512,256,1,10001,1,1
tif,croc_buoy,P8,0,128,128,1,0,1,1
tif,fe_frm_dlg,PA4,0,256,256,1,10001,1,1
tif,fe_nopic,P8,0,128,128,1,10001,1,1
tif,fe_f_com_arnette,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_billabong,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_chanisland,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_dcshoes,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_draggon,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_globe,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_hurley,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_jcboards,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_mcd,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_oakley,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_oam,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_oneil,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_op,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_planetearth,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_reef,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_rusty,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_scruzboards,DXT1,0,64,64,1,10001,1,1
tif,fe_f_com_volcom,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_airons,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_barney,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_cfletcher,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_clopez,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_cward,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_dmalloy,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_fpatacchia,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_jcollins,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_rballard,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_sdorian,DXT1,0,64,64,1,10001,1,1
tif,fe_f_mov_rwd_tburrows,DXT1,0,64,64,1,10001,1,1
